Rank,Run Name,Ratio,Time File,Wavelength File,Time MSE,Wavelength MSE,Region AUC Error,Tau Avg Error,Score,FL,ISC,CT,RP,coupling,energy
1,Run_FL16_ISC5_CT1_RP0.2_coupling_200_CT_energy_14580,Monomer_60pct_CT_0pct_RP1_0pct_CTRP1_40pct,time_resolved_Monomer_60pct_CT_0pct_RP1_0pct_CTRP1_40pct_start_time_0.0.npy,wavelength_resolved_Monomer_60pct_CT_0pct_RP1_0pct_CTRP1_40pct_start_time_0.0.npy,0.00045363320208717875,0.00347277122640081,0.0001467612559869249,0.0030361279982237628,0.026254248699702856,16,5,1.0,0.2,200,14580
2,Run_FL16_ISC5_CT2_RP0.4_coupling_200_CT_energy_14580,Monomer_60pct_CT_0pct_RP1_0pct_CTRP1_40pct,time_resolved_Monomer_60pct_CT_0pct_RP1_0pct_CTRP1_40pct_start_time_0.0.npy,wavelength_resolved_Monomer_60pct_CT_0pct_RP1_0pct_CTRP1_40pct_start_time_0.0.npy,0.0002164958777880299,0.0034617042873102484,0.03165987655973728,0.0002938031900761073,0.03800722471639638,16,5,2.0,0.4,200,14580
3,Run_FL16_ISC5_CT3_RP0.8_coupling_150_CT_energy_14580,Monomer_60pct_CT_0pct_RP1_0pct_CTRP1_40pct,time_resolved_Monomer_60pct_CT_0pct_RP1_0pct_CTRP1_40pct_start_time_0.0.npy,wavelength_resolved_Monomer_60pct_CT_0pct_RP1_0pct_CTRP1_40pct_start_time_0.0.npy,6.803547479837054e-05,0.0034635504864112005,0.020814020482468283,0.012648367077651296,0.042502507326271734,16,5,3.0,0.8,150,14580
4,Run_FL16_ISC5_CT2_RP0.6_coupling_150_CT_energy_14580,Monomer_60pct_CT_0pct_RP1_0pct_CTRP1_40pct,time_resolved_Monomer_60pct_CT_0pct_RP1_0pct_CTRP1_40pct_start_time_0.0.npy,wavelength_resolved_Monomer_60pct_CT_0pct_RP1_0pct_CTRP1_40pct_start_time_0.0.npy,7.961055380477689e-05,0.0034587194066073336,0.008566483359556995,0.02193996846943845,0.046872223292979825,16,5,2.0,0.6,150,14580
5,Run_FL16_ISC5_CT3_RP0.6_coupling_200_CT_energy_14580,Monomer_60pct_CT_0pct_RP1_0pct_CTRP1_40pct,time_resolved_Monomer_60pct_CT_0pct_RP1_0pct_CTRP1_40pct_start_time_0.0.npy,wavelength_resolved_Monomer_60pct_CT_0pct_RP1_0pct_CTRP1_40pct_start_time_0.0.npy,0.00013116392041230877,0.0034512260930617826,0.06342193894298731,0.0036188148866079417,0.059846328136223016,16,5,3.0,0.6,200,14580
6,Run_FL16_ISC5_CT0.6_RP0.2_coupling_150_CT_energy_14580,Monomer_60pct_CT_0pct_RP1_0pct_CTRP1_40pct,time_resolved_Monomer_60pct_CT_0pct_RP1_0pct_CTRP1_40pct_start_time_0.0.npy,wavelength_resolved_Monomer_60pct_CT_0pct_RP1_0pct_CTRP1_40pct_start_time_0.0.npy,0.0003101854030864464,0.003457487096317434,0.005986441787062846,0.030420356852691056,0.06154212769080298,16,5,0.6,0.2,150,14580
7,Run_FL16_ISC5_CT8_RP1_coupling_200_CT_energy_14580,Monomer_60pct_CT_0pct_RP1_0pct_CTRP1_40pct,time_resolved_Monomer_60pct_CT_0pct_RP1_0pct_CTRP1_40pct_start_time_0.0.npy,wavelength_resolved_Monomer_60pct_CT_0pct_RP1_0pct_CTRP1_40pct_start_time_0.0.npy,0.00022469939091046952,0.003463702737244023,0.026003643507764764,0.023674292588768023,0.06388823357674758,16,5,8.0,1.0,200,14580
8,Run_FL16_ISC5_CT8_RP2_coupling_150_CT_energy_14580,Monomer_60pct_CT_0pct_RP1_0pct_CTRP1_40pct,time_resolved_Monomer_60pct_CT_0pct_RP1_0pct_CTRP1_40pct_start_time_0.0.npy,wavelength_resolved_Monomer_60pct_CT_0pct_RP1_0pct_CTRP1_40pct_start_time_0.0.npy,0.000260706170124325,0.0034290840920771044,0.07440266592300016,0.0011897768878113722,0.06666843240464396,16,5,8.0,2.0,150,14580
9,Run_FL16_ISC5_CT3_RP1_coupling_150_CT_energy_14580,Monomer_60pct_CT_0pct_RP1_0pct_CTRP1_40pct,time_resolved_Monomer_60pct_CT_0pct_RP1_0pct_CTRP1_40pct_start_time_0.0.npy,wavelength_resolved_Monomer_60pct_CT_0pct_RP1_0pct_CTRP1_40pct_start_time_0.0.npy,8.621177668680602e-05,0.0034387242847619443,0.04620711656892263,0.025578866356973852,0.0751101715038785,16,5,3.0,1.0,150,14580
10,Run_FL16_ISC5_CT3_RP0.4_coupling_250_CT_energy_14580,Monomer_60pct_CT_0pct_RP1_0pct_CTRP1_40pct,time_resolved_Monomer_60pct_CT_0pct_RP1_0pct_CTRP1_40pct_start_time_0.0.npy,wavelength_resolved_Monomer_60pct_CT_0pct_RP1_0pct_CTRP1_40pct_start_time_0.0.npy,0.0004404399824893608,0.0034783848504508267,0.02908196562028839,0.030419319944715237,0.07837491911659022,16,5,3.0,0.4,250,14580
